,mean_total_s,max_total_s,timeouts
AdaptiveAggressivenessClassifier,0.434242329292465,1.7631413750350475,0
AdaptiveBasisClassifier,0.9387224874575623,6.397134666098282,0
AdaptiveFeatureWeightingClassifier,0.0105474041425623,0.08538204105570912,0
AdaptiveLaplaceNB,0.01375715620815754,0.1480097498279065,0
AdaptiveNoiseScaledGradientClassifier,0.2775323645444587,0.836446707835421,0
AdaptivePruningClassifier,0.6000181833398528,6.540269332937896,0
AdditiveEnsembleCentroidClassifier,0.008123893628362567,0.04413525015115738,0
AdditiveRidgeSegmentClassifier,0.10719051888445393,1.47538045886904,0
BetaBernoulliClassifier,0.0011407917598262429,0.00567483389750123,0
BiasVarianceMultinomialClassifier,0.01570795209845528,0.11414166586473584,0
BiasVarianceRidgeClassifier,0.0026662834803573786,0.01886045909486711,0
ConditionalFeaturePriorClassifier,0.008417652221396565,0.10649187513627112,0
ConfidenceRegularizedPassiveAggressiveClassifier,20.768706952105276,340.9274720000103,0
CorrelatedFeatureNaiveBayes,0.0465691918390803,0.5786497918888927,0
CorrelationWeightedNaiveBayes,0.32744484370341526,5.197131833061576,0
DynamicLambdaClassifier,1.0516364397015423,5.492187707917765,0
EnsembleNaiveBayesClassifier,0.03170383950928226,0.2216157498769462,0
FactorAnalysisDiscriminant,0.0065993187832646075,0.04264524998143315,0
GeodesicCovarianceEnsembleClassifier,11.942605464463123,169.98049691598862,0
HierarchicalBayesianClassifier,0.15578599164728074,0.618274874985218,0
HierarchicalLDA,0.009430293855257333,0.03938387497328222,0
HierarchicalNaiveBayes,1.267345300060697,20.69316841685213,0
HierarchicalSmoothingClassifier,6.844376375013963,104.52355400007218,0
HybridCoordinateGradientClassifier,9.691008620872163,175.4072882500477,0
LocalCovarianceKNNClassifier,0.5837512312573381,5.515732374973595,0
LocalCovarianceMetricClassifier,0.048136941564735025,0.6520534579176456,0
LowRankSparseClassifier,0.6022028604522347,4.695575792109594,0
ManifoldLDA,2.1018048728932626,40.414811457972974,0
MixtureOfSubCentroidsClassifier,1.8770939373993314,26.448725041933358,0
OptimalClassRegularizedClassifier,0.002570975013077259,0.014142208034172654,0
OrthogonalSubspaceClassifier,3.799949258402921,36.92677254206501,0
PolynomialARDClassifier,32.75228154580109,523.0502482501324,0
QuadraticStepClassifier,4.18943819362903,75.14277245802805,0
RegularizedCovarianceClassifier,0.1075914832414128,0.6240023327991366,0
ShrunkCentroidClassifier,0.0009152603801339865,0.0036251668352633715,0
SigmoidProbabilisticClassifier,0.32923091263510285,3.595761958975345,0
SparseDiscriminantClassifier,0.0101905477931723,0.043818874983116984,0
SparseGaussianClassifier,1.512508077127859,7.738774625118822,0
SparsePrecisionClassifier,3.1893806124106048,12.331971291918308,0
StatisticalInteractionClassifier,0.3739664291613735,5.006763959070668,0
StratifiedIndependentGradientClassifier,12.396817249944434,162.12367850006558,0
WeightedPerceptronEnsemble,0.1533130728523247,1.0070405420847237,0
