model,dataset,total_s,fit_s,pred_s,timed_out
LowRankSparseClassifier,Iris,0.027579457964748144,0.027200083015486598,5.595805123448372e-05,0.0
LowRankSparseClassifier,Breast Cancer,0.027746999985538423,0.027144209016114473,0.00037041702307760715,0.0
LowRankSparseClassifier,Credit-G,0.41506587504409254,0.41465524991508573,0.00012629199773073196,0.0
LowRankSparseClassifier,Vehicle,1.2096313340589404,1.2088077500229701,0.0005546659231185913,0.0
LowRankSparseClassifier,Glass,0.6057007920462638,0.6054244580445811,5.658308509737253e-05,0.0
ManifoldLDA,Iris,0.015747333993203938,0.013135500019416213,0.0023384999949485064,0.0
ManifoldLDA,Breast Cancer,0.05782741599250585,0.042584875016473234,0.014966833055950701,0.0
ManifoldLDA,Credit-G,0.13622674997895956,0.11134683398995548,0.0245816670358181,0.0
ManifoldLDA,Vehicle,0.09760500001721084,0.07812737498898059,0.019255207967944443,0.0
ManifoldLDA,Glass,0.012022250099107623,0.007596542011015117,0.004226332996040583,0.0
MixtureOfSubCentroidsClassifier,Iris,0.014679041923955083,0.014342667069286108,0.00011550006456673145,0.0
MixtureOfSubCentroidsClassifier,Breast Cancer,0.04916929197497666,0.048820083029568195,0.00014304101932793856,0.0
MixtureOfSubCentroidsClassifier,Credit-G,0.06438491598237306,0.06336683291010559,0.0007312080124393106,0.0
MixtureOfSubCentroidsClassifier,Vehicle,0.09830804204102606,0.09583466593176126,0.0022595420014113188,0.0
MixtureOfSubCentroidsClassifier,Glass,0.03417429199907929,0.033272334025241435,0.0006834579398855567,0.0
OptimalClassRegularizedClassifier,Iris,0.0007391249528154731,0.0003667499404400587,7.079099304974079e-05,0.0
OptimalClassRegularizedClassifier,Breast Cancer,0.0015798329841345549,0.001229165936820209,6.925000343471766e-05,0.0
OptimalClassRegularizedClassifier,Credit-G,0.0014937499072402716,0.0011837090132758021,0.00010354199912399054,0.0
OptimalClassRegularizedClassifier,Vehicle,0.0020507919834926724,0.0014877079520374537,0.0003476669080555439,0.0
OptimalClassRegularizedClassifier,Glass,0.0013677090173587203,0.0010560830123722553,0.00010412500705569983,0.0
OrthogonalSubspaceClassifier,Iris,0.16285408299881965,0.16229633404873312,0.00032829202245920897,0.0
OrthogonalSubspaceClassifier,Breast Cancer,1.3969095830107108,1.3961046669865027,0.0004927919944748282,0.0
OrthogonalSubspaceClassifier,Credit-G,0.8823403329588473,0.8814396659145132,0.0004919579951092601,0.0
OrthogonalSubspaceClassifier,Vehicle,1.681375417043455,1.680417166906409,0.0006787499878555536,0.0
OrthogonalSubspaceClassifier,Glass,1.1913387079257518,1.1907313329866156,0.00036991701927036047,0.0
PolynomialARDClassifier,Iris,0.020899333991110325,0.02039566694293171,0.00020216696429997683,0.0
PolynomialARDClassifier,Breast Cancer,0.6673099579056725,0.6654739589430392,0.0015106670325621963,0.0
PolynomialARDClassifier,Credit-G,0.5939003749517724,0.5928696250775829,0.0006829589838162065,0.0
PolynomialARDClassifier,Vehicle,1.598590958979912,1.5978904169751331,0.00042179098818451166,0.0
PolynomialARDClassifier,Glass,0.3045844159787521,0.3041319999611005,0.00020295788999646902,0.0
