,mean_total_s,max_total_s,timeouts
AdaptiveComplexityClassifier,3.633014646009542,6.732113000005484,0
AdaptiveContextMixingClassifier,18.051259895961266,24.840815749950707,0
AdaptiveHypervectorClassifier,445.274980999995,873.8377374999691,0
AdaptiveReservoirComplexityClassifier,18.091613624535967,32.0809746660525,0
AdaptiveRiemannianFisherClassifier,0.6379940619808622,1.2010406659683213,0
AdaptiveTopologyClassifier,5463.675992833509,10927.35081987502,0
AntColonyHomologyClassifier,59.598575541516766,112.67040808300953,0
BioInspiredCAClassifier,143.70573106250959,195.32376225001644,0
BioInspiredSpeciationClassifier,12.076833229511976,17.502536416985095,0
DifferentiableTopologyClassifier,5595.256689479516,9050.156037917011,0
