,mean_total_s,max_total_s,timeouts
AdaptiveComplexityClassifier,0.6323242295184173,1.0666946249548346,0
AdaptiveContextMixingClassifier,8.523797562520485,15.41119587502908,0
AdaptiveHypervectorClassifier,72.0408597709611,142.0233153749723,0
AdaptiveReservoirComplexityClassifier,2.865085895988159,4.8299776669591665,0
AdaptiveRiemannianFisherClassifier,0.026814854005351663,0.04748291696887463,0
AdaptiveTopologyClassifier,0.0006032709497958422,0.0008474169299006462,0
AntColonyHomologyClassifier,46.455972791532986,76.24283629097044,0
BioInspiredCAClassifier,69.02002016699407,113.07752545899712,0
BioInspiredSpeciationClassifier,16.383407916524448,24.386289666057564,0
DifferentiableTopologyClassifier,1936.4333811044926,2619.88421745901,0
