model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveComplexityClassifier,Credit-G,0.5339162920136005,-1.0,-1.0,0.0
AdaptiveComplexityClassifier,Phoneme,6.732113000005484,5.786226958036423,0.9447409580461681,0.0
AdaptiveContextMixingClassifier,Credit-G,11.261704041971825,11.239456915995106,0.021900291903875768,0.0
AdaptiveContextMixingClassifier,Phoneme,24.840815749950707,24.797509458032437,0.042603959096595645,0.0
AdaptiveHypervectorClassifier,Credit-G,16.712224500020966,16.631654749973677,0.07994358299765736,0.0
AdaptiveHypervectorClassifier,Phoneme,873.8377374999691,866.888451042003,6.94762183399871,0.0
AdaptiveReservoirComplexityClassifier,Credit-G,4.102252583019435,3.3119506670627743,0.789942083065398,0.0
AdaptiveReservoirComplexityClassifier,Phoneme,32.0809746660525,24.91830008395482,7.158511999994516,0.0
AdaptiveRiemannianFisherClassifier,Credit-G,0.07494745799340308,0.07428325002547354,0.0002597089624032378,0.0
AdaptiveRiemannianFisherClassifier,Phoneme,1.2010406659683213,1.199944291030988,0.0005216249264776707,0.0
AdaptiveTopologyClassifier,Credit-G,0.001165791996754706,-1.0,-1.0,0.0
AdaptiveTopologyClassifier,Phoneme,10927.35081987502,9867.609901000047,1059.740581082995,0.0
AntColonyHomologyClassifier,Credit-G,6.526743000023998,6.519024125067517,0.0073604159988462925,0.0
AntColonyHomologyClassifier,Phoneme,112.67040808300953,112.53320929093752,0.13682870799675584,0.0
BioInspiredCAClassifier,Credit-G,92.08769987500273,92.04323654202744,0.0441705419216305,0.0
BioInspiredCAClassifier,Phoneme,195.32376225001644,195.18502312491182,0.129231582977809,0.0
BioInspiredSpeciationClassifier,Credit-G,6.651130042038858,6.459420541999862,0.19141341699287295,0.0
BioInspiredSpeciationClassifier,Phoneme,17.502536416985095,16.5593270000536,0.9429180829320103,0.0
DifferentiableTopologyClassifier,Credit-G,2140.3573410420213,2139.959233166999,0.38774020795244724,0.0
DifferentiableTopologyClassifier,Phoneme,9050.156037917011,9049.391633416992,0.763237165985629,0.0
