,mean_total_s,max_total_s,timeouts
AdaptiveAggressivenessClassifier,0.5366289861267433,1.3276617089286447,0
AdaptiveBasisClassifier,1.0938274723206025,4.559683333034627,0
AdaptiveFeatureWeightingClassifier,0.012065812363289297,0.0353855830617249,0
AdaptiveLaplaceNB,0.011556194493702302,0.03304537502117455,0
AdaptiveNoiseScaledGradientClassifier,0.29414195852587,0.40778791706543416,0
AdaptivePruningClassifier,0.5676794374982516,1.4692428749985993,0
AdditiveEnsembleCentroidClassifier,0.0072425556524346275,0.01013774995226413,0
AdditiveRidgeSegmentClassifier,0.027842493009908747,0.08570804202463478,0
BetaBernoulliClassifier,0.0011030138315012057,0.002094250055961311,0
BiasVarianceMultinomialClassifier,0.014957187503265837,0.028316874988377094,0
BiasVarianceRidgeClassifier,0.0016025483491830528,0.0023022500099614263,0
ConditionalFeaturePriorClassifier,0.0021706039745671055,0.0049171659629791975,0
ConfidenceRegularizedPassiveAggressiveClassifier,4.161035479143417,12.294200291973539,0
CorrelatedFeatureNaiveBayes,0.02502124283152322,0.04769308306276798,0
CorrelationWeightedNaiveBayes,0.10409616651789595,0.21429029200226068,0
DynamicLambdaClassifier,1.3097459998486254,2.7435991669772193,0
EnsembleNaiveBayesClassifier,0.0275479859750097,0.06598804099485278,0
FactorAnalysisDiscriminant,0.0042739581743565696,0.006986749940551817,0
GeodesicCovarianceEnsembleClassifier,3.98609948635567,6.838199999998324,0
HierarchicalBayesianClassifier,0.3771285068166132,0.7122770840069279,0
HierarchicalLDA,0.01686022215289995,0.035843583988025784,0
HierarchicalNaiveBayes,0.5314621316501871,1.329867416061461,0
HierarchicalSmoothingClassifier,2.9875923335008943,13.195686000050046,0
HybridCoordinateGradientClassifier,2.0897654791479,11.21690762497019,0
LocalCovarianceKNNClassifier,0.3412970765105759,0.606309459079057,0
LocalCovarianceMetricClassifier,0.03491683329533165,0.08039354195352644,0
LowRankSparseClassifier,5.3585987641708925,14.283897666959092,0
ManifoldLDA,1.4804568614733096,5.8653633339563385,0
MixtureOfSubCentroidsClassifier,0.45443625014740974,2.5586191249312833,0
OptimalClassRegularizedClassifier,0.0013655210107875366,0.0020624169846996665,0
OrthogonalSubspaceClassifier,1.0333871179997611,1.6429506660206243,0
PolynomialARDClassifier,0.6375265970127657,2.1925889999838546,0
QuadraticStepClassifier,14.06771870846084,74.29989824991208,0
RegularizedCovarianceClassifier,0.17111672247604778,0.39985316700767726,0
ShrunkCentroidClassifier,0.007239889004267752,0.036101083969697356,0
SigmoidProbabilisticClassifier,0.734185604165153,2.5187420829897746,0
SparseDiscriminantClassifier,0.01068650729333361,0.020104290917515755,0
SparseGaussianClassifier,4.751432298818448,15.198229791945778,0
SparsePrecisionClassifier,2.848408041521907,6.71071745804511,0
StatisticalInteractionClassifier,0.38183424963305396,0.7736309579340741,0
StratifiedIndependentGradientClassifier,13.750022777860673,50.35598412505351,0
WeightedPerceptronEnsemble,0.07754986816629146,0.20517195796128362,0
