,mean_total_s,max_total_s,timeouts
AdaptiveAbstractionForest,0.2676565977744758,1.937796917045489,0
AdaptiveAbstractionTree,0.002595685434062034,0.017877875128760934,0
AbstractionGuidedEnsembleNet,2.233434008434415,21.417729625012726,0
AdaptiveAbstractionNetClassifier,105.18363131892401,1994.6549315000884,0
AdaptiveDensityCompressedKNN,0.005963506305124611,0.05370554095134139,0
AdaptiveKernelComplexity,22.41024569774745,442.30715270899236,0
AdaptiveRandomnessNetwork,0.0997406146256253,0.3310250830836594,0
BaggedDecisionTrees,0.023191981192212552,0.17165425000712276,0
BiasVarianceBalancer,0.15411800822475924,0.8445324159692973,0
BiasVarianceOptimizedKNNEnsemble,0.05059891253476963,0.4385350418742746,0
DynamicBiasVarianceForest,0.01316401264630258,0.06080958293750882,0
CompressibilityAdaptiveLR,0.07096545420354232,0.2639840829651803,0
CompressionGuidedForest,0.10578313334845006,0.8262121248990297,0
CompressionGuidedPruner,27.224344935582486,540.7596808748785,0
CompressibilitySimilarityKNN,27.484238706273025,409.7284822082147,0
DecisionTreeClassifier,1.2275997249991633,4.059200499905273,0
DimensionalityAdaptiveConnector,0.4388788228505291,1.5416114579420537,0
DimAwareForest,0.12136842913459986,1.0520242077764124,0
DimAwareSplitInteractionModel,0.33289500006940215,3.0046225420664996,0
DirectionalActivationNet,0.29744977289810776,2.2110693748109043,0
DirectionalForest,0.107066329207737,0.7721079590264708,0
DirectionalWeightedKNN,0.06391239160439,1.0832730000838637,0
DiscreteContHybridNeuron,8.447044941526837,164.3402307908982,0
EntropyGuidedForestGrowth,0.013506120827514678,0.10962999984622002,0
EntropyGuidedKNN,0.03541212076088414,0.30335466703400016,0
FractalDimensionAdaptiveKNN,0.010308487620204688,0.09588366700336337,0
GradientBoostingMachine,1.036534498014953,19.083522459026426,0
HybridKNNClassifier,67.89205764769576,1048.1138328330126,0
InteractionAwareKNN,6.3042245750431904,46.576733582885936,0
KNN,55.677418241708075,721.0998935420066,0
KNearestNeighbors,26.80979919381207,350.2954040421173,0
LinearDiscriminantAnalysis,0.018298268783837557,0.07594683300703764,0
CustomPCAMultiLevelKNN,0.15981977724004537,0.8391120841260999,0
MultiLevelAbstractionKNN,0.16970938123995438,0.9197548341471702,0
NaiveBayesClassifier,0.1366683312342502,1.0122155419085175,0
NeuralNetClassifier,1.3918929874897004,13.233187499921769,0
PerceptronClassifier,32.055182204162705,472.3011195000727,0
QuadraticDiscriminantAnalysis,0.0029582124669104816,0.015176624990999699,0
DecisionTree,1.2873429603176192,5.335390167078003,0
RandomForestModel,85.73481237300439,369.08956699981354,0
BalancedSimDissimKNN,0.11213562700431794,2.0244638330768794,0
SimilarityFeatureFuser,0.015298851870466024,0.1027985408436507,0
