,mean_total_s,max_total_s,timeouts
AdaptiveDensityWeightedClassifier,0.09106087717227637,1.1969622920732945,0
AdaptiveHistogramTreeClassifier,4.305362135428004,37.93981116707437,0
AdaptiveKernelClassifier,1.0855041646165773,14.796008500037715,0
AdaptiveKernelDensityClassifier,0.5527856583241373,9.51090024993755,0
AdaptiveKNNClassifier,0.018846739595755935,0.20491308299824595,0
AdaptiveRadiusBoostingClassifier,42.62359358129324,808.6031711248215,0
AdaptiveResidualLearningClassifier,67.85995006030426,717.7176933330484,0
AdaptiveSubspaceForestClassifier,15.279071425041185,69.0338241669815,0
BaggedRandomKernelSVM,3.441795306268614,21.772652124986053,0
BoostedKNNClassifier,33.64677836253541,294.0059476250317,0
BootstrapKNNEnsemble,0.34636701266281306,5.456865084124729,0
BootstrapMLPEnsemble,8.546161745872814,98.14729987503961,0
BoundaryFocusedBaggingClassifier,0.03399769794195891,0.23546591703779995,0
ConfidenceResidualBoostingClassifier,0.10472682083491236,0.6398263748269528,0
DensityAwareBootstrapClassifier,0.3373516125488095,3.102910374989733,0
GradientBoostedForestClassifier,8.802618662489113,99.0280097918585,0
HierarchicalBoostingClassifier,0.21332407710142434,1.1147267918568105,0
HierarchicalDepthBoostingClassifier,0.08371318960562349,0.7157011248636991,0
HierarchicalDepthEnsembleClassifier,0.031850897835101935,0.16606829199008644,0
HierarchicalMixtureOfExperts,0.931425450136885,15.284411999862641,0
HierarchicalMultiMetricKNNClassifier,0.5133148519904353,7.245340958004817,0
HistogramEnsembleClassifier,0.04997781460406259,0.4221290408167988,0
KDEActivationClassifier,2.5514651854522525,24.37739866692573,0
KDELeafClassifier,0.0552753210067749,0.7990460409782827,0
KDELeafDecisionTreeClassifier,0.056565827084705235,0.8284831249620765,0
KDEWeightedOOBForestClassifier,0.39739967287750916,3.7197694580536336,0
MultiGrainBoostingClassifier,0.08035832095192745,0.37879820819944143,0
MultiGrainTreeEnsemble,0.22011276871198787,1.619759124936536,0
MultiProjectionEnsembleClassifier,0.4261435310239904,1.600026749772951,0
MultiResolutionTreeEnsemble,0.035897743748500945,0.14836766687221825,0
MultiScaleKernelEnsembleClassifier,0.21301902083214372,3.4550940829794854,0
MultiScaleRadiusClassifier,0.0680314727127552,0.6870482501108199,0
NoisyBaggedBoostClassifier,0.28370464383624494,2.066447083139792,0
NoisyThresholdEnsembleClassifier,0.03709408333525062,0.28031712491065264,0
RadiusBootstrapEnsemble,0.08638530002208426,1.2025253749452531,0
ResidualAwareBoostClassifier,0.6875132187269628,6.193832083139569,0
ResidualAwareWeakLearner,1.8518883734941483e-06,5.458015948534012e-06,0
ResidualAwareHistogramBoostingClassifier,3.5640929685439913,37.52247279090807,0
ResidualGuidedBaggingClassifier,0.038168374937959014,0.2532439581118524,0
ResidualMLPEnsemble,2.7735193520667965,24.506836750078946,0
ResidualPCARotationForest,0.028555766586214303,0.2690141659695655,0
ResidualWeightedTreeEnsemble,0.01992034170543775,0.08279541693627834,0
SequentialBoostingSVM,1.2783866229234264,23.60377566702664,0
StochasticEnsembleGradientClassifier,0.8706104353885167,9.397392290877178,0
StochasticHistogramClassifier,0.16960961457807572,1.3298073750920594,0
